id,code,icao,name,latitude,longitude,elevation,url,time_zone,city_code,country,city,state,county,type
18787,YGP,CYGP,Michel-Pouliot GaspÃ© Airport,48.766666,-64.48333,112,,America/Montreal,YGP,CA,GaspÃ©,Quebec,Gaspesie-Iles-de-la-Madeleine,AP
18788,YGQ,CYGQ,Geraldton Greenstone Regional Airport,49.733334,-86.95,1144,,America/Toronto,YGQ,CA,Geraldton,,,AP
18789,YGR,CYGR,ÃŽles-de-la-Madeleine Airport,47.36667,-61.9,35,,America/Halifax,YGR,CA,ÃŽles-de-la-Madeleine,Prince Edward Island,,AP
18790,YGS,,Germansen,55.767659,-124.6928225,"0",,America/Vancouver,YGS,CA,,,,AP
18791,YGT,CYGT,Igloolik Airport,69.36376179999999,-81.81482446871043,174,,America/Iqaluit,YGT,CA,Igloolik,,,AP
18792,YGV,CYGV,Havre-Saint-Pierre Airport,50.283493899999996,-63.603875594040474,124,,America/Montreal,YGV,CA,Havre St-Pierre,,,AP
18793,YGW,CYGW,Kuujjuarapik Airport,55.2824753,-77.75632598579428,34,,America/Montreal,YGW,CA,Kuujjuarapik,,,AP
18794,YGX,CYGX,Gillam Airport,56.356811949999994,-94.7121796275236,476,,America/Winnipeg,YGX,CA,Gillam,,,AP
18795,YGY,,Deception,62.1139505,-74.56168740274171,"0",,America/Montreal,YGY,CA,,,,AP
18796,YGZ,CYGZ,Grise Fiord Airport,76.42610205,-82.90958377076656,146,,America/Iqaluit,YGZ,CA,Grise Fiord,,,AP
18797,YHA,CCP4,Port Hope Simpson Airport,52.52758035,-56.280771003168525,347,,America/St_Johns,YHA,CA,Port Hope Simpson,,,AP
18798,YHB,CYHB,Hudson Bay Airport,52.86667,-102.416664,1175,,America/Regina,YHB,CA,Hudson Bay,Saskatchewan,,AP
18799,YHC,,Hakai Passage Water Aerodrome,51.733334,-128.11667,"0",,America/Vancouver,YHC,CA,,,,AP
18800,YHD,CYHD,Dryden Regional Airport,49.783333,-92.833336,1354,,America/Winnipeg,YHD,CA,Dryden,,,AP
18801,YHE,CYHE,Hope Airport / FVRD Regional Airpark,49.416668,-121.416664,128,,America/Vancouver,YHE,CA,Hope,British Columbia,,AP
18802,YHF,CYHF,Hearst RenÃ© Fontaine Municipal Airport,49.714139700000004,-83.68811012191951,827,,America/Toronto,YHF,CA,Hearst,,,AP
18803,YHG,,Charlottetown Airport,52.766666,-56.1,"0",,America/St_Johns,YHG,CA,Charlottetown,,,AP
18804,YHH,CAE3,Campbell River Seaplane Base,49.94639,-125.26556,"0",,America/Vancouver,YBL,CA,,,,AP
18805,YHI,CYHI,Ulukhaktok Holman Airport,70.71667,-117.71667,117,,America/Yellowknife,YHI,CA,Ulukhaktok,,,AP
18806,YHK,CYHK,Gjoa Haven Airport,68.6368488,-95.85487461213016,152,,America/Cambridge_Bay,YHK,CA,Gjoa Haven,,,AP
18807,YHM,CYHM,John C. Munro Hamilton International Airport,43.16138,-79.92631,780,http://www.flyhi.ca/,America/Toronto,YTO,CA,Hamilton,Ontario,,AP
18808,YHN,CYHN,Hornepayne Municipal Airport,49.1931,-84.7589035,1099,,America/Toronto,YHN,CA,Hornepayne,,,AP
18809,YHO,CYHO,Hopedale Airport,55.4487663,-60.23073681783596,39,,America/Goose_Bay,YHO,CA,Hopedale,,,AP
18810,YHP,CYHP,Poplar Hill Airport,52.11288365,-94.25558169007094,1095,,America/Winnipeg,YHP,CA,Poplar Hill,,,AP
18811,YHR,CYHR,Chevery Airport,50.5,-59.5,39,,America/Blanc-Sablon,YHR,CA,Chevery,,,AP
18812,YHS,CAP3,Sechelt-Gibsons Airport,49.4617472,-123.7249873,340,,America/Vancouver,YHS,CA,Sechelt,,,AP
18813,YHT,CYHT,Haines Junction Airport,60.75,-137.5,2150,,America/Whitehorse,YHT,CA,Haines Junction,Yukon,,AP
